0	9.99999999310985e-01
1	5.54646249985731e-01
2	3.29134472143369e-01
3	2.10500585868149e-01
4	1.38481599121509e-01
5	1.03749178715934e-01
6	6.38464162694871e-02
7	5.22314714385727e-02
8	4.42518217734679e-02
9	4.33903407599087e-02
10	4.55101864890756e-02
11	4.41412870350456e-02
12	3.98941773038324e-02
13	4.27872246654588e-02
14	4.23409434292319e-02
15	5.14136537097680e-02
16	4.32615944342713e-02
17	5.66895748306747e-02
18	6.97639119842944e-02
19	7.39738709830797e-02
20	6.39923394531386e-02
21	7.31509973170733e-02
22	8.81961822641579e-02
23	7.93010856234890e-02
24	7.23848223548191e-02
25	6.78270431746095e-02
26	5.64989112690896e-02
27	6.38680488032557e-02
28	5.62433399881191e-02
29	4.53089696534256e-02
