0	9.99999999992667e-01
1	6.24679939371804e-01
2	3.97216868303521e-01
3	2.42721589703025e-01
4	1.54095577623235e-01
5	9.71053729461251e-02
6	6.37669218911042e-02
7	4.24752500160233e-02
8	3.11950438227852e-02
9	1.65906450885027e-02
10	9.24455349052652e-03
11	6.32061038207613e-03
12	-2.07903667564572e-03
13	-1.19800140368450e-02
14	-9.20630171195681e-03
15	-6.69214547183844e-03
16	-4.76170154274884e-03
17	-1.03228934380712e-04
18	2.94941277082242e-03
19	5.24350137374660e-03
20	7.96662732809968e-03
21	1.38360337394731e-03
22	-1.82872539646264e-03
23	-1.18230101551445e-02
24	-1.82413332043957e-02
25	-1.80647244437751e-02
26	-1.84677657197888e-02
27	-1.92135611526966e-02
28	-1.70975774597544e-02
29	-1.06890462871487e-02
30	-1.71460825619085e-02
31	-2.04795537386145e-02
32	-1.27781285764300e-02
33	-6.77467342969149e-03
34	-6.34512720713557e-03
35	-1.33819198946714e-02
36	-1.89604663667890e-02
37	-1.32942865949875e-02
38	-1.07978791827910e-02
39	-9.99129058380883e-03
40	-7.14247277658986e-03
41	-5.47464918002106e-03
42	-1.29375479298268e-02
43	-3.83004062767214e-03
44	3.16932188146380e-03
45	3.03410610872546e-03
46	6.08011467236307e-03
47	9.26322359892605e-03
48	1.64715474636798e-02
49	1.34381232432803e-02
