0	1.61019604500000e-02	5.97006602623870e-03
1	9.19604350000000e-03	4.55063822599009e-03
2	5.25046055000000e-03	3.40200175994249e-03
3	3.06875140000000e-03	2.72265157390710e-03
4	1.76427235000000e-03	2.59973662329638e-03
5	9.97230700000000e-04	2.54729566039466e-03
6	5.70101300000000e-04	2.37494825907068e-03
7	3.35193150000000e-04	2.18231383278502e-03
8	2.34555450000000e-04	1.95401973062815e-03
9	2.03833550000000e-04	1.79294386129836e-03
10	1.73080250000000e-04	1.55962692602908e-03
11	6.78234000000001e-05	1.01969858419602e-03
12	-2.34187999999998e-05	-nan
13	-4.27534000000000e-05	-nan
14	-4.74544000000000e-05	-nan
15	3.16403000000000e-05	5.46856659206235e-04
16	1.89499550000000e-04	1.65587416056432e-03
17	2.93997650000000e-04	2.09702390170733e-03
18	1.86907400000000e-04	2.29401924184323e-03
19	-4.23947000000000e-05	2.25592027753590e-03
20	-2.13027850000000e-04	2.03512949194314e-03
21	-2.53116050000000e-04	1.81765546257978e-03
22	-2.05035700000000e-04	1.39184761655217e-02
23	1.94376755500000e-02	1.04573433900233e-02
24	1.14352652500000e-02	8.00942435242488e-03
