0	4.20368828000000e-02	1.29988689723134e-02
1	3.33634567000000e-02	1.15522247172710e-02
2	2.64452690000000e-02	1.02191205379226e-02
3	2.09650240500000e-02	8.96396487485165e-03
4	1.66159934500000e-02	7.86304110784498e-03
5	1.31605009500000e-02	6.94091445786947e-03
6	1.03983638000000e-02	6.13113275649172e-03
7	8.18798715000001e-03	5.48771831547225e-03
8	6.46356845000000e-03	4.90070557732013e-03
9	5.14201010000000e-03	4.27781113991127e-03
10	4.11272435000000e-03	3.74049214966315e-03
11	3.37771790000000e-03	3.26618469869483e-03
12	2.83836500000000e-03	2.80638625927638e-03
13	2.38939470000000e-03	2.29653716815314e-03
14	1.95323450000000e-03	1.40543565565103e-03
15	1.53130955000000e-03	-nan
16	1.04337365000000e-03	-nan
17	5.48180950000000e-04	-nan
18	1.87654600000000e-04	-nan
19	-6.49942000000002e-05	-nan
20	-2.29023350000000e-04	-nan
21	-3.05724550000000e-04	-nan
22	-3.33844550000000e-04	1.92114203573543e-02
23	3.74135504500000e-02	1.66242155135366e-02
24	2.94567056000000e-02	1.48054886211202e-02
